#
# FRENCH MAIN WALL
# OM-ID	    HV-ch      HV-pin   OM   HV
#
M:00.08.12  H:0.08.20  A:20.16  009  1220
#
M:00.09.00  H:0.00.21  A:12.17  075  1260
M:00.09.01  H:0.00.31  A:12.30  182  1560
M:00.09.02  H:0.00.03  A:12.48  219  1620
M:00.09.03  H:0.02.21  A:14.17  199  1420
M:00.09.04  H:0.02.31  A:14.30  210  1465
M:00.09.05  H:0.02.03  A:14.48  236  1550
M:00.09.06  H:0.04.21  A:16.17  141  1410
M:00.09.07  H:0.04.31  A:16.30  146  1430
M:00.09.08  H:0.04.03  A:16.48  317  1460
M:00.09.09  H:0.06.21  A:18.17  324  1400
M:00.09.10  H:0.06.31  A:18.30  200  1390
M:00.09.11  H:0.06.03  A:18.48  107  1430
M:00.09.12  H:0.08.21  A:20.17  058  1140
#
M:00.10.00  H:0.01.23  A:13.03  082  1290
M:00.10.01  H:0.01.22  A:13.18  145  1460
M:00.10.02  H:0.01.06  A:13.34  222  1450
M:00.10.03  H:0.03.23  A:15.03  203  1480
M:00.10.04  H:0.03.22  A:15.18  230  1430
M:00.10.05  H:0.03.06  A:15.34  237  1430
M:00.10.06  H:0.05.23  A:17.03  116  1440
M:00.10.07  H:0.05.22  A:17.18  112  1460
M:00.10.08  H:0.05.06  A:17.34  320  1420
M:00.10.09  H:0.07.23  A:19.03  282  1390
M:00.10.10  H:0.07.22  A:19.18  192  1400
M:00.10.11  H:0.07.06  A:19.34  090  1390
M:00.10.12  H:0.08.22  A:20.18  059  1180
#
M:00.11.00  H:0.01.24  A:13.04  072  1280
M:00.11.01  H:0.01.29  A:13.19  168  1490
M:00.11.02  H:0.01.07  A:13.35  229  1420
M:00.11.03  H:0.03.24  A:15.04  197  1460
M:00.11.04  H:0.03.29  A:15.19  220  1400
M:00.11.05  H:0.03.07  A:15.35  242  1360
M:00.11.06  H:0.05.24  A:17.04  100  1420
M:00.11.07  H:0.05.29  A:17.19  123  1410
M:00.11.08  H:0.05.07  A:17.35  299  1540
M:00.11.09  H:0.07.24  A:19.04  283  1520
M:00.11.10  H:0.07.29  A:19.19  191  1490
M:00.11.11  H:0.07.07  A:19.35  189  1400
M:00.11.12  H:0.08.29  A:20.19  037  1260
#
M:00.12.00  H:0.01.25  A:13.05  034  1280
M:00.12.01  H:0.01.30  A:13.20  193  1500
M:00.12.02  H:0.01.08  A:13.36  194  0000
M:00.12.03  H:0.03.25  A:15.05  183  1640
M:00.12.04  H:0.03.30  A:15.20  201  1440
M:00.12.05  H:0.03.08  A:15.36  228  1450
M:00.12.06  H:0.05.25  A:17.05  136  1390
M:00.12.07  H:0.05.30  A:17.20  150  1580
M:00.12.08  H:0.05.08  A:17.36  329  1480
M:00.12.09  H:0.07.25  A:19.05  131  1400
M:00.12.10  H:0.07.30  A:19.20  279  1490
M:00.12.11  H:0.07.08  A:19.36  278  1300
M:00.12.12  H:0.08.30  A:20.20  007  1230
#
M:00.13.00  H:0.01.26  A:13.06  025  1300
M:00.13.01  H:0.01.12  A:13.24  213  1450
M:00.13.02  H:0.01.09  A:13.37  223  0000
M:00.13.03  H:0.03.26  A:15.06  196  1570
M:00.13.04  H:0.03.12  A:15.24  204  1470
M:00.13.05  H:0.03.09  A:15.37  211  1400
M:00.13.06  H:0.05.26  A:17.06  108  1570
M:00.13.07  H:0.05.12  A:17.24  149  1540
M:00.13.08  H:0.05.09  A:17.37  327  1500
M:00.13.09  H:0.07.26  A:19.06  325  1470
M:00.13.10  H:0.07.12  A:19.24  208  1420
M:00.13.11  H:0.07.09  A:19.37  257  1440
M:00.13.12  H:0.08.12  A:20.24  060  1420
#
M:00.14.00  H:0.01.27  A:13.07  035  1260
M:00.14.01  H:0.01.13  A:13.25  205  1490
M:00.14.02  H:0.01.10  A:13.38  218  0000
M:00.14.03  H:0.03.27  A:15.07  160  1430
M:00.14.04  H:0.03.13  A:15.25  157  1400
M:00.14.05  H:0.03.10  A:15.38  209  1450
M:00.14.06  H:0.05.27  A:17.07  106  1430
M:00.14.07  H:0.05.13  A:17.25  132  1440
M:00.14.08  H:0.05.10  A:17.38  316  1430
M:00.14.09  H:0.07.27  A:19.07  319  1450
M:00.14.10  H:0.07.13  A:19.25  167  1560
M:00.14.11  H:0.07.10  A:19.38  174  1590
M:00.14.12  H:0.08.13  A:20.25  046  1320
#
M:00.15.00  H:0.01.28  A:13.08  065  1300
M:00.15.01  H:0.01.14  A:13.26  187  1320
M:00.15.02  H:0.01.11  A:13.39  215  1490
M:00.15.03  H:0.03.28  A:15.08  190  1510
M:00.15.04  H:0.03.14  A:15.26  207  1510
M:00.15.05  H:0.03.11  A:15.39  233  1540
M:00.15.06  H:0.05.28  A:17.08  140  1520
M:00.15.07  H:0.05.14  A:17.26  135  1460
M:00.15.08  H:0.05.11  A:17.39  326  1550
M:00.15.09  H:0.07.28  A:19.08  328  1540
M:00.15.10  H:0.07.14  A:19.26  274  1420
M:00.15.11  H:0.07.11  A:19.39  172  1470
M:00.15.12  H:0.08.14  A:20.26  015  1220
#
M:00.16.00  H:0.01.18  A:13.14  071  1210
M:00.16.01  H:0.01.15  A:13.27  165  1450
M:00.16.02  H:0.01.00  A:13.45  255  1550
M:00.16.03  H:0.03.18  A:15.14  248  1590
M:00.16.04  H:0.03.15  A:15.27  102  1400
M:00.16.05  H:0.03.00  A:15.45  121  1440
M:00.16.06  H:0.05.18  A:17.14  311  0000
M:00.16.07  H:0.05.15  A:17.27  298  1410
M:00.16.08  H:0.05.00  A:17.45  288  1400
M:00.16.09  H:0.07.18  A:19.14  302  1440
M:00.16.10  H:0.07.15  A:19.27  247  1510
M:00.16.11  H:0.07.00  A:19.45  109  1370
M:00.16.12  H:0.08.15  A:20.27  016  1250
#
M:00.17.00  H:0.01.19  A:13.15  069  1250
M:00.17.01  H:0.01.16  A:13.28  214  1480
M:00.17.02  H:0.01.01  A:13.46  253  1530
M:00.17.03  H:0.03.19  A:15.15  254  1470
M:00.17.04  H:0.03.16  A:15.28  110  1490
M:00.17.05  H:0.03.01  A:15.46  111  1410
M:00.17.06  H:0.05.19  A:17.15  305  1510
M:00.17.07  H:0.05.16  A:17.28  292  1410
M:00.17.08  H:0.05.01  A:17.46  295  1470
M:00.17.09  H:0.07.19  A:19.15  303  1420
M:00.17.10  H:0.07.16  A:19.28  084  1210
M:00.17.11  H:0.07.01  A:19.46  249  1519
M:00.17.12  H:0.08.16  A:20.28  013  1230
#
M:00.18.00  H:0.01.20  A:13.16  066  1240
M:00.18.01  H:0.01.17  A:13.29  195  1480
M:00.18.02  H:0.01.02  A:13.47  170  1550
M:00.18.03  H:0.03.20  A:15.16  239  1360
M:00.18.04  H:0.03.17  A:15.29  096  1440
M:00.18.05  H:0.03.02  A:15.47  120  1430
M:00.18.06  H:0.05.20  A:17.16  306  1460
M:00.18.07  H:0.05.17  A:17.29  144  1410
M:00.18.08  H:0.05.02  A:17.47  297  1360
M:00.18.09  H:0.07.20  A:19.16  307  1350
M:00.18.10  H:0.07.17  A:19.29  089  1540
M:00.18.11  H:0.07.02  A:19.47  186  1380
M:00.18.12  H:0.08.17  A:20.29  002  1340
#
M:00.19.00  H:0.01.21  A:13.17  070  1280
M:00.19.01  H:0.01.31  A:13.30  184  1550
M:00.19.02  H:0.01.03  A:13.48  164  1470
M:00.19.03  H:0.03.21  A:15.17  250  1490
M:00.19.04  H:0.03.31  A:15.30  092  1640
M:00.19.05  H:0.03.03  A:15.48  159  1480
M:00.19.06  H:0.05.21  A:17.17  321  0000
M:00.19.07  H:0.05.31  A:17.30  313  0000
M:00.19.08  H:0.05.03  A:17.48  291  1330
M:00.19.09  H:0.07.21  A:19.17  287  1400
M:00.19.10  H:0.07.31  A:19.30  225  1410
M:00.19.11  H:0.07.03  A:19.48  245  1520
M:00.19.12  H:0.08.31  A:20.30  041  1190
#
